Country Code,Country Name,Value
ARB,Arab World,189154434.472315
CSS,Caribbean small states,5655261
EAS,East Asia & Pacific (all income levels),1634085870.94445
EAP,East Asia & Pacific (developing only),1428777641.30692
EMU,Euro area,298670491
ECS,Europe & Central Asia (all income levels),808514481.940419
ECA,Europe & Central Asia (developing only),366931877.940419
EUU,European Union,463591527
HPC,Heavily indebted poor countries (HIPC),309004369.342637
HIC,High income,932765976.237535
NOC,High income: nonOECD,55861968.2375351
OEC,High income: OECD,876904008
LCN,Latin America & Caribbean (all income levels),385481369
LAC,Latin America & Caribbean (developing only),380350998.4
LDC,Least developed countries: UN classification,427915369.822637
LMY,Low & middle income,3757972742.97724
LIC,Low income,419735696.342637
LMC,Lower middle income,1516813143.7906
MEA,Middle East & North Africa (all income levels),206002016.472315
MNA,Middle East & North Africa (developing only),184832661.472315
MIC,Middle income,3338237046.63461
NAC,North America,259303200
OED,OECD members,1009127518
OSS,Other small states,10311536.8029592
PSS,Pacific island small states,2128910.48
SST,Small states,18095708.2829592
SAS,South Asia,975641743.342637
SSF,Sub-Saharan Africa (all income levels),421710037.514959
SSA,Sub-Saharan Africa (developing only),421437820.514959
UMC,Upper middle income,1821423902.84401
WLD,World,4690738719.21478
AFG,Afghanistan,16392077.3426367
ALB,Albania,2831682
DZA,Algeria,20762767
ASM,American Samoa,36203
AND,Andorra,43636
AGO,Angola,8491682
ATG,Antigua and Barbuda,67792
ARG,Argentina,29447973
ARM,Armenia,3239212
ABW,Aruba,62208
AUS,Australia,15369000
AUT,Austria,7561910
AZE,Azerbaijan,6461000
BHS,"Bahamas, The",225083
BHR,Bahrain,394164
BGD,Bangladesh,87459802
BRB,Barbados,252017
BLR,Belarus,9843000
BEL,Belgium,9855520
BLZ,Belize,156986
BEN,Benin,3917941
BMU,Bermuda,55200
BTN,Bhutan,464831
BOL,Bolivia,5708585
BIH,Bosnia and Herzegovina,4021590
BWA,Botswana,1106802
BRA,Brazil,130459023
BRN,Brunei Darussalam,207122
BGR,Bulgaria,8939738
BFA,Burkina Faso,7763888
BDI,Burundi,4542467
KHM,Cambodia,7211815
CMR,Cameroon,9929831
CAN,Canada,25456000
