Country Code,Country Name,Value
ARB,Arab World,116161856.2
CSS,Caribbean small states,4712464.25538294
EAS,East Asia & Pacific (all income levels),1196953785.34014
EAP,East Asia & Pacific (developing only),1032057363.04
EMU,Euro area,276601113
ECS,Europe & Central Asia (all income levels),720652741.783168
ECA,Europe & Central Asia (developing only),309990241.783168
EUU,European Union,429494744
HPC,Heavily indebted poor countries (HIPC),201556002
HIC,High income,808999243.900141
NOC,High income: nonOECD,36606932.9001407
OEC,High income: OECD,772392311
LCN,Latin America & Caribbean (all income levels),265068752.855383
LAC,Latin America & Caribbean (developing only),260982722.255383
LDC,Least developed countries: UN classification,289385473.84
LMY,Low & middle income,2662669311.39855
LIC,Low income,283858972
LMC,Lower middle income,1036144270.2368
MEA,Middle East & North Africa (all income levels),127390862.2
MNA,Middle East & North Africa (developing only),117495017.2
MIC,Middle income,2378810339.39855
NAC,North America,219176000
OED,OECD members,862269540
OSS,Other small states,6949832.52
PSS,Pacific island small states,1632369.84
SST,Small states,13294666.6153829
SAS,South Asia,669128191
SSF,Sub-Saharan Africa (all income levels),273298222.12
SSA,Sub-Saharan Africa (developing only),273015776.12
UMC,Upper middle income,1342666069.16175
WLD,World,3471668555.29869
AFG,Afghanistan,11163656
ALB,Albania,1976140
DZA,Algeria,12572629
ASM,American Samoa,25087
AND,Andorra,20772
AGO,Angola,5617242
ATG,Antigua and Barbuda,62226
ARG,Argentina,22944941
ARM,Armenia,2332624
ABW,Aruba,58052
AUS,Australia,11799000
AUT,Austria,7376998
AZE,Azerbaijan,4826258
BHS,"Bahamas, The",152623
BHR,Bahrain,195111
BGD,Bangladesh,61702785
BRB,Barbados,236443
BLR,Belarus,8785648
BEL,Belgium,9580991
BLZ,Belize,113333.1968
BEN,Benin,2692610
BMU,Bermuda,52000
BTN,Bhutan,274000
BOL,Bolivia,3929192
BIH,Bosnia and Herzegovina,3466307
BWA,Botswana,631226
BRA,Brazil,89068235
BRN,Brunei Darussalam,108968
BGR,Bulgaria,8310226
BFA,Burkina Faso,5479285
BDI,Burundi,3341476
KHM,Cambodia,6485769
CMR,Cameroon,6345309
CAN,Canada,20412000
CPV,Cape Verde,253087
CYM,Cayman Islands,8875
CAF,Central African Republic,1718560
TCD,Chad,3427888
CHI,Channel Islands,117437
CHL,Chile,9037026
CHN,China,754550000
COL,Colombia,19663029
COM,Comoros,221755
COD,"Congo, Dem. Rep.",18579012
COG,"Congo, Rep.",1224134
CRI,Costa Rica,1680257
CIV,Cote d'Ivoire,4788525
HRV,Croatia,4339000
CUB,Cuba,8252314
CYP,Cyprus,591398
CZE,Czech Republic,9852899
DNK,Denmark,4835354
DJI,Djibouti,133253
DMA,Dominica,67681
