Country Code,Country Name,Value
ARB,Arab World,217645358.716638
CSS,Caribbean small states,5880429.72092131
EAS,East Asia & Pacific (all income levels),1766753777.78728
EAP,East Asia & Pacific (developing only),1552933956.29627
EMU,Euro area,302115955
ECS,Europe & Central Asia (all income levels),833251507.88921
ECA,Europe & Central Asia (developing only),385936014.88921
EUU,European Union,469734128
HPC,Heavily indebted poor countries (HIPC),354670386.134644
HIC,High income,964454105.091014
NOC,High income: nonOECD,62792610.0910141
OEC,High income: OECD,901661495
LCN,Latin America & Caribbean (all income levels),425938244.720921
LAC,Latin America & Caribbean (developing only),420533589.120921
LDC,Least developed countries: UN classification,489539211.430913
LMY,Low & middle income,4155670158.11642
LIC,Low income,479497395.134644
LMC,Lower middle income,1701140914.03179
MEA,Middle East & North Africa (all income levels),240134175.716638
MNA,Middle East & North Africa (developing only),214024434.716638
MIC,Middle income,3676172762.98178
NAC,North America,271452700
OED,OECD members,1047683496
OSS,Other small states,11891714.1667378
PSS,Pacific island small states,2344598.29626953
SST,Small states,20116742.1839286
SAS,South Asia,1097179962.13464
SSF,Sub-Saharan Africa (all income levels),485413894.958738
SSA,Sub-Saharan Africa (developing only),485062200.958738
UMC,Upper middle income,1975031848.94999
WLD,World,5120124263.20744
AFG,Afghanistan,18255378.1346438
ALB,Albania,3194854
DZA,Algeria,24035237
ASM,American Samoa,44048
AND,Andorra,50236
AGO,Angola,9799680
ATG,Antigua and Barbuda,62669
ARG,Argentina,31729130
ARM,Armenia,3510439
ABW,Aruba,61069
AUS,Australia,16532200
AUT,Austria,7585317
AZE,Azerbaijan,7004000
BHS,"Bahamas, The",247409
BHR,Bahrain,462184
BGD,Bangladesh,100062322
BRB,Barbados,257621
BLR,Belarus,10140000
BEL,Belgium,9901664
BLZ,Belize,179800
BEN,Benin,4494242
BMU,Bermuda,58700
BTN,Bhutan,540918
BOL,Bolivia,6363470
BIH,Bosnia and Herzegovina,4349682
BWA,Botswana,1301146
BRA,Brazil,144470377
