Country Code,Country Name,Value
ARB,Arab World,137143931.285716
CSS,Caribbean small states,5084063.3104
EAS,East Asia & Pacific (all income levels),1386585291.35812
EAP,East Asia & Pacific (developing only),1205625754
EMU,Euro area,286856854
ECS,Europe & Central Asia (all income levels),756158202.068296
ECA,Europe & Central Asia (developing only),331188323.068296
EUU,European Union,445037980
HPC,Heavily indebted poor countries (HIPC),235776623
HIC,High income,857702468.466763
NOC,High income: nonOECD,42332298.9581193
OEC,High income: OECD,815370169.508644
LCN,Latin America & Caribbean (all income levels),307173820.9104
LAC,Latin America & Caribbean (developing only),302710710.3104
LDC,Least developed countries: UN classification,332993624.8
LMY,Low & middle income,3062612904.57641
LIC,Low income,327910173
LMC,Lower middle income,1192185858.4704
MEA,Middle East & North Africa (all income levels),150402041.285716
MNA,Middle East & North Africa (developing only),137686684.285716
MIC,Middle income,2734702731.57641
NAC,North America,234332207.508644
OED,OECD members,920122150.508644
OSS,Other small states,7935962.2
PSS,Pacific island small states,1871695.8
SST,Small states,14891721.3104
SAS,South Asia,766466946
SSF,Sub-Saharan Africa (all income levels),319196863.912
SSA,Sub-Saharan Africa (developing only),318934486.912
UMC,Upper middle income,1542516873.10601
WLD,World,3920315373.04317
AFG,Afghanistan,12915499
ALB,Albania,2294578
DZA,Algeria,15052371
ASM,American Samoa,28983
AND,Andorra,28357
AGO,Angola,6322194
ATG,Antigua and Barbuda,68182
ARG,Argentina,25222223
ARM,Armenia,2705584
ABW,Aruba,60238
AUS,Australia,13380000
AUT,Austria,7586115
AZE,Azerbaijan,5490572
BHS,"Bahamas, The",181490
BHR,Bahrain,238468
BGD,Bangladesh,68933357
BRB,Barbados,242949
BLR,Belarus,9257272
BEL,Belgium,9741720
BLZ,Belize,124670.4704
BEN,Benin,3037990
BMU,Bermuda,53800
BTN,Bhutan,337370
BOL,Bolivia,4535500
BIH,Bosnia and Herzegovina,3674638
BWA,Botswana,765101
BRA,Brazil,103242395
BRN,Brunei Darussalam,143548
BGR,Bulgaria,8620967
BFA,Burkina Faso,6169133
BDI,Burundi,3602204
KHM,Cambodia,7162333
CMR,Cameroon,7407756
CAN,Canada,22369407.5086437
CPV,Cape Verde,300922
CYM,Cayman Islands,11253
CAF,Central African Republic,1937410
TCD,Chad,3929341
CHI,Channel Islands,124649
CHL,Chile,10095485
CHN,China,881940000
COL,Colombia,22898136
COM,Comoros,254997
COD,"Congo, Dem. Rep.",22032669
COG,"Congo, Rep.",1463231
CRI,Costa Rica,1953184
CIV,Cote d'Ivoire,6180001
HRV,Croatia,4478000
CUB,Cuba,9160532
CYP,Cyprus,635261
CZE,Czech Republic,9922266
DNK,Denmark,5021861
DJI,Djibouti,192922
DMA,Dominica,71745
DOM,Dominican Republic,4891500
ECU,Ecuador,6519792
EGY,"Egypt, Arab Rep.",38409289
SLV,El Salvador,4037935
GNQ,Equatorial Guinea,262377
ERI,Eritrea,1998632
EST,Estonia,1405951
ETH,Ethiopia,31503206
FRO,Faeroe Islands,39641
FJI,Fiji,554147
FIN,Finland,4666081
FRA,France,53168333
PYF,French Polynesia,122041
GAB,Gabon,565441
GMB,"Gambia, The",504267
GEO,Georgia,4242500
DEU,Germany,78936666
GHA,Ghana,9435673
GIB,Gibraltar,25117
GRC,Greece,8929086
GRL,Greenland,49000
GRD,Grenada,93588
GUM,Guam,91316
GTM,Guatemala,5910205
GIN,Guinea,4252351
GNB,Guinea-Bissau,647703
GUY,Guyana,739970
HTI,Haiti,4961817
HND,Honduras,2924118
HKG,"Hong Kong SAR, China",4241600
HUN,Hungary,10432055
ISL,Iceland,212317
IND,India,593526633
IDN,Indonesia,127662293
IRN,"Iran, Islamic Rep.",31006191
