Country Code,Country Name,Value
ARB,Arab World,106978104.6
CSS,Caribbean small states,4480785.8364471
EAS,East Asia & Pacific (all income levels),1112718485.73995
EAP,East Asia & Pacific (developing only),955146105.84
EMU,Euro area,269969434
ECS,Europe & Central Asia (all income levels),699758843.938649
ECA,Europe & Central Asia (developing only),298472509.938649
EUU,European Union,419579238
HPC,Heavily indebted poor countries (HIPC),186895133
HIC,High income,783159186.499953
NOC,High income: nonOECD,33942743.4999531
OEC,High income: OECD,749216443
LCN,Latin America & Caribbean (all income levels),245144303.436447
LAC,Latin America & Caribbean (developing only),241221256.836447
LDC,Least developed countries: UN classification,267967194.64
LMY,Low & middle income,2481818097.2151
LIC,Low income,262146706
LMC,Lower middle income,968153231.928
MEA,Middle East & North Africa (all income levels),117211170.6
MNA,Middle East & North Africa (developing only),108361389.6
MIC,Middle income,2219671391.2151
NAC,North America,211262900
OED,OECD members,832358016
OSS,Other small states,6557138.4
PSS,Pacific island small states,1516569.64
SST,Small states,12554493.8764471
SAS,South Asia,625073905
SSF,Sub-Saharan Africa (all income levels),253807675
SSA,Sub-Saharan Africa (developing only),253542930
UMC,Upper middle income,1251518159.2871
WLD,World,3264977283.71505
AFG,Afghanistan,10474903
ALB,Albania,1817098
DZA,Algeria,11654905
ASM,American Samoa,22672
AND,Andorra,17438
AGO,Angola,5337063
ATG,Antigua and Barbuda,58653
ARG,Argentina,21966478
ARM,Armenia,2138133
ABW,Aruba,57031
AUS,Australia,11167000
AUT,Austria,7223801
AZE,Azerbaijan,4440730
BHS,"Bahamas, The",133709
BHR,Bahrain,181833
BGD,Bangladesh,56071080
BRB,Barbados,234455
BLR,Belarus,8524224
BEL,Belgium,9378113
BLZ,Belize,104595.088
BEN,Benin,2561022
BMU,Bermuda,48900
BTN,Bhutan,251419
BOL,Bolivia,3668568
BIH,Bosnia and Herzegovina,3357005
BWA,Botswana,579518
BRA,Brazil,82021855
BRN,Brunei Darussalam,95191
BGR,Bulgaria,8144340
BFA,Burkina Faso,5195464
BDI,Burundi,3154474
KHM,Cambodia,5983575
CMR,Cameroon,5909450
CAN,Canada,19325000
CPV,Cape Verde,233809
CYM,Cayman Islands,8612
CAF,Central African Republic,1616524
TCD,Chad,3219259
CHI,Channel Islands,113765
CHL,Chile,8457066
CHN,China,698355000
COL,Colombia,18019927
COM,Comoros,207856
COD,"Congo, Dem. Rep.",17065408
COG,"Congo, Rep.",1126584
CRI,Costa Rica,1532386
CIV,Cote d'Ivoire,4251345
HRV,Croatia,4259680
CUB,Cuba,7777606
CYP,Cyprus,578710
CZE,Czech Republic,9727804
DNK,Denmark,4722072
