Country Code,Country Name,Value
ARB,Arab World,122856355
CSS,Caribbean small states,4859582.8382491
EAS,East Asia & Pacific (all income levels),1258524140.44019
EAP,East Asia & Pacific (developing only),1088292943.04
EMU,Euro area,280295897
ECS,Europe & Central Asia (all income levels),732941262.531511
ECA,Europe & Central Asia (developing only),316960641.531511
EUU,European Union,435234989
HPC,Heavily indebted poor countries (HIPC),212192894
HIC,High income,825072467.800188
NOC,High income: nonOECD,38384562.8001876
OEC,High income: OECD,786687905
LCN,Latin America & Caribbean (all income levels),278553909.238249
LAC,Latin America & Caribbean (developing only),274375650.838249
LDC,Least developed countries: UN classification,304642542.84
LMY,Low & middle income,2791700011.92976
LIC,Low income,299354521
LMC,Lower middle income,1084864556.3728
MEA,Middle East & North Africa (all income levels),134714236
MNA,Middle East & North Africa (developing only),124082860
MIC,Middle income,2492345490.92976
NAC,North America,223759000
OED,OECD members,881169559
OSS,Other small states,7239158.92
PSS,Pacific island small states,1707699.84
SST,Small states,13806441.5982491
SAS,South Asia,700836400
SSF,Sub-Saharan Africa (all income levels),287443531.52
SSA,Sub-Saharan Africa (developing only),287151516.52
UMC,Upper middle income,1407480934.55696
WLD,World,3616772479.72995
AFG,Afghanistan,11676990
ALB,Albania,2082474
DZA,Algeria,13338918
ASM,American Samoa,26608
AND,Andorra,23127
AGO,Angola,5815282
ATG,Antigua and Barbuda,64528
ARG,Argentina,23616971
ARM,Armenia,2456370
ABW,Aruba,58725
AUS,Australia,12263000
AUT,Austria,7441055
AZE,Azerbaijan,5059918
BHS,"Bahamas, The",164263
BHR,Bahrain,205291
BGD,Bangladesh,65474474
BRB,Barbados,237657
BLR,Belarus,8960304
BEL,Belgium,9646032
BLZ,Belize,117995.3328
BEN,Benin,2793872
BMU,Bermuda,54000
BTN,Bhutan,291747
BOL,Bolivia,4117259
BIH,Bosnia and Herzegovina,3530780
BWA,Botswana,671247
BRA,Brazil,93727990
BRN,Brunei Darussalam,119440
BGR,Bulgaria,8434172
BFA,Burkina Faso,5694428
BDI,Burundi,3465190
KHM,Cambodia,6811663
CMR,Cameroon,6668834
CAN,Canada,21028000
CPV,Cape Verde,266624
CYM,Cayman Islands,9216
CAF,Central African Republic,1792147
TCD,Chad,3575273
