Country Code,Country Name,Value
ARB,Arab World,112969031.8
CSS,Caribbean small states,4634799.42102601
EAS,East Asia & Pacific (all income levels),1168340757.74005
EAP,East Asia & Pacific (developing only),1005802024.64
EMU,Euro area,274649191
ECS,Europe & Central Asia (all income levels),714164282.949974
ECA,Europe & Central Asia (developing only),306367854.949974
EUU,European Union,426348336
HPC,Heavily indebted poor countries (HIPC),196505021
HIC,High income,800820695.300047
NOC,High income: nonOECD,35699413.3000469
OEC,High income: OECD,765121282
LCN,Latin America & Caribbean (all income levels),258423772.621026
LAC,Latin America & Caribbean (developing only),254384780.421026
LDC,Least developed countries: UN classification,281897190.44
LMY,Low & middle income,2601055734.931
LIC,Low income,276252659
LMC,Lower middle income,1012858934.1568
MEA,Middle East & North Africa (all income levels),123835064.8
MNA,Middle East & North Africa (developing only),114322994.8
MIC,Middle income,2324803075.931
NAC,North America,216659000
OED,OECD members,852756558
OSS,Other small states,6815103.52
PSS,Pacific island small states,1594707.44
SST,Small states,13044610.381026
SAS,South Asia,653860981
SSF,Sub-Saharan Africa (all income levels),266592571.12
SSA,Sub-Saharan Africa (developing only),266317099.12
UMC,Upper middle income,1311944141.7742
WLD,World,3401876430.23105
AFG,Afghanistan,10927724
ALB,Albania,1922993
DZA,Algeria,12229853
ASM,American Samoa,24283
AND,Andorra,19640
AGO,Angola,5524090
ATG,Antigua and Barbuda,61032
ARG,Argentina,22622012
ARM,Armenia,2269475
ABW,Aruba,57714
AUS,Australia,11651000
AUT,Austria,7322066
AZE,Azerbaijan,4702916
BHS,"Bahamas, The",146379
BHR,Bahrain,190734
BGD,Bangladesh,59681186
BRB,Barbados,235912
BLR,Belarus,8696496
BEL,Belgium,9527807
BLZ,Belize,110643.5168
BEN,Benin,2646310
BMU,Bermuda,51000
BTN,Bhutan,266072
BOL,Bolivia,3839751
BIH,Bosnia and Herzegovina,3432671
BWA,Botswana,612903
BRA,Brazil,86735163
BRN,Brunei Darussalam,104130
BGR,Bulgaria,8258057
BFA,Burkina Faso,5378861
BDI,Burundi,3275465
KHM,Cambodia,6310320
CMR,Cameroon,6193834
CAN,Canada,20048000
CPV,Cape Verde,246724
CYM,Cayman Islands,8787
CAF,Central African Republic,1682880
TCD,Chad,3357972
CHI,Channel Islands,116200
CHL,Chile,8849016
CHN,China,735400000
COL,Colombia,19104020
COM,Comoros,216728
COD,"Congo, Dem. Rep.",18048341
COG,"Congo, Rep.",1190402
CRI,Costa Rica,1631723
CIV,Cote d'Ivoire,4602382
HRV,Croatia,4313000
CUB,Cuba,8099779
CYP,Cyprus,585400
CZE,Czech Republic,9821040
DNK,Denmark,4797381
DJI,Djibouti,124688
DMA,Dominica,66304
DOM,Dominican Republic,4015213
ECU,Ecuador,5302370
EGY,"Egypt, Arab Rep.",32586961
SLV,El Salvador,3342957
GNQ,Equatorial Guinea,275472
ERI,Eritrea,1662247
EST,Estonia,1304650
ETH,Ethiopia,26128435
FRO,Faeroe Islands,36820
FJI,Fiji,476334
FIN,Finland,4580869
FRA,France,50305536
PYF,French Polynesia,96177
GAB,Gabon,505765
GMB,"Gambia, The",417350
GEO,Georgia,3966700
DEU,Germany,76600311
GHA,Ghana,7986643
GIB,Gibraltar,23582
GRC,Greece,8613651
GRL,Greenland,40500
GRD,Grenada,94858
GUM,Guam,77789
GTM,Guatemala,4892812
GIN,Guinea,3890947
GNB,Guinea-Bissau,596340
GUY,Guyana,657885
HTI,Haiti,4359031
HND,Honduras,2417101
HKG,"Hong Kong SAR, China",3629900
HUN,Hungary,10178653
ISL,Iceland,195570
IND,India,507115411
IDN,Indonesia,106839814
IRN,"Iran, Islamic Rep.",25743217
IRQ,Iraq,8759064
IRL,Ireland,2888800
IMN,Isle of Man,51780
ISR,Israel,2629000
ITA,Italy,52519000
JAM,Jamaica,1783124.8
JPN,Japan,99790000
