Country Code,Country Name,Value
ARB,Arab World,297909066.594954
CSS,Caribbean small states,6542783.22444646
EAS,East Asia & Pacific (all income levels),2080570097
EAP,East Asia & Pacific (developing only),1847032693
EMU,Euro area,318210346
ECS,Europe & Central Asia (all income levels),865434714.295609
ECA,Europe & Central Asia (developing only),398326713.295609
EUU,European Union,485910160
HPC,Heavily indebted poor countries (HIPC),517330948.271937
HIC,High income,1063766782
NOC,High income: nonOECD,78377228
OEC,High income: OECD,985389554
LCN,Latin America & Caribbean (all income levels),534999940.900188
LAC,Latin America & Caribbean (developing only),528805600.900188
LDC,Least developed countries: UN classification,697494842.271937
LMY,Low & middle income,5208998474.97175
LIC,Low income,673147697.271937
LMC,Lower middle income,2219727866.50401
MEA,Middle East & North Africa (all income levels),325087018.594954
MNA,Middle East & North Africa (developing only),287764353.594954
MIC,Middle income,4535850777.69981
NAC,North America,319049943
OED,OECD members,1169253863
OSS,Other small states,16083464.9090574
PSS,Pacific island small states,2884682
SST,Small states,25510930.1335038
SAS,South Asia,1446418234.27194
SSF,Sub-Saharan Africa (all income levels),701205308.909057
SSA,Sub-Saharan Africa (developing only),700650879.909057
UMC,Upper middle income,2316122911.1958
WLD,World,6272765256.97175
AFG,Afghanistan,27465525.2719371
ALB,Albania,3089778
DZA,Algeria,31441848
ASM,American Samoa,59687
AND,Andorra,69043
AGO,Angola,14890474
ATG,Antigua and Barbuda,80507
ARG,Argentina,37657340
ARM,Armenia,3061067
ABW,Aruba,94596
AUS,Australia,19651400
AUT,Austria,8081957
AZE,Azerbaijan,8171950
BHS,"Bahamas, The",305801
BHR,Bahrain,642070
BGD,Bangladesh,134266428
BRB,Barbados,268813
BLR,Belarus,9925000
BEL,Belgium,10332785
BLZ,Belize,265200
BEN,Benin,6937985
BMU,Bermuda,62750
BTN,Bhutan,606024
BOL,Bolivia,8646659
BIH,Bosnia and Herzegovina,3775883
BWA,Botswana,1808103
BRA,Brazil,179289227
BRN,Brunei Darussalam,341585
BGR,Bulgaria,7868468
BFA,Burkina Faso,13015435
BDI,Burundi,6656071
KHM,Cambodia,12845222
CMR,Cameroon,16408085
CAN,Canada,31362000
CPV,Cape Verde,452740
CYM,Cayman Islands,45117
CAF,Central African Republic,3829238
TCD,Chad,8831199
CHI,Channel Islands,146626
CHL,Chile,15783991
CHN,China,1280400000
COL,Colombia,41078136
COM,Comoros,593170
COD,"Congo, Dem. Rep.",52491329
COG,"Congo, Rep.",3288923
CRI,Costa Rica,4083197
CIV,Cote d'Ivoire,17180649
HRV,Croatia,4440000
CUB,Cuba,11175434
CUW,Curacao,128182
CYP,Cyprus,979874
CZE,Czech Republic,10204853
DNK,Denmark,5375931
DJI,Djibouti,765283
DMA,Dominica,69301
DOM,Dominican Republic,8860760
ECU,Ecuador,12767415
EGY,"Egypt, Arab Rep.",70174632
SLV,El Salvador,5988233
GNQ,Equatorial Guinea,554429
ERI,Eritrea,3973973
EST,Estonia,1358644
ETH,Ethiopia,69040669
FRO,Faeroe Islands,46944
FJI,Fiji,816336
FIN,Finland,5200598
FRA,France,61644062
PYF,French Polynesia,245000
GAB,Gabon,1290532
GMB,"Gambia, The",1376035
GEO,Georgia,4357000
DEU,Germany,82488495
GHA,Ghana,20114361
GIB,Gibraltar,27989
GRC,Greece,10987543
GRL,Greenland,56600
GRD,Grenada,101954
GUM,Guam,160292
GTM,Guatemala,11800351
GIN,Guinea,8604936
GNB,Guinea-Bissau,1289526
GUY,Guyana,738011
HTI,Haiti,8935252
HND,Honduras,6477525
HKG,"Hong Kong SAR, China",6744100
HUN,Hungary,10158608
ISL,Iceland,287523
IND,India,1088694080
IDN,Indonesia,219026365
IRN,"Iran, Islamic Rep.",67212850
IRQ,Iraq,25577835.6275214
IRL,Ireland,3931947
IMN,Isle of Man,78246
ISR,Israel,6570000
ITA,Italy,57157406
JAM,Jamaica,2617495.22444646
JPN,Japan,127445000
JOR,Jordan,5038000
KAZ,Kazakhstan,14858948
KEN,Kenya,32927864
KIR,Kiribati,87147
PRK,"Korea, Dem. Rep.",23264576
KOR,"Korea, Rep.",47622000
KSV,Kosovo,1737000
KWT,Kuwait,2069816
KGZ,Kyrgyz Republic,4990600
LAO,Lao PDR,5496700
