Country Code,Country Name,Value
ARB,Arab World,98882541.4
CSS,Caribbean small states,4251427.60448529
EAS,East Asia & Pacific (all income levels),1048194734.43981
EAP,East Asia & Pacific (developing only),898229493.84
EMU,Euro area,262639170
ECS,Europe & Central Asia (all income levels),675726587.946964
ECA,Europe & Central Asia (developing only),285187776.946964
EUU,European Union,408625426
HPC,Heavily indebted poor countries (HIPC),173698379
HIC,High income,754341491.199812
NOC,High income: nonOECD,31150804.1998124
OEC,High income: OECD,723190687
LCN,Latin America & Caribbean (all income levels),225531845.204485
LAC,Latin America & Caribbean (developing only),221821122.604485
LDC,Least developed countries: UN classification,249419792.64
LMY,Low & middle income,2327139091.15145
LIC,Low income,243487622
LMC,Lower middle income,905637011.7744
MEA,Middle East & North Africa (all income levels),108166431.4
MNA,Middle East & North Africa (developing only),100302314.4
MIC,Middle income,2083651469.15145
NAC,North America,202007500
OED,OECD members,799617553
OSS,Other small states,6189470.76
PSS,Pacific island small states,1398635.64
SST,Small states,11839534.0044853
SAS,South Asia,585865287
SSF,Sub-Saharan Africa (all income levels),235988196.36
SSA,Sub-Saharan Africa (developing only),235733096.36
UMC,Upper middle income,1178014457.37705
WLD,World,3081480582.35126
AFG,Afghanistan,9859928
ALB,Albania,1661158
DZA,Algeria,11006643
ASM,American Samoa,20500
AND,Andorra,14337
AGO,Angola,5053693
ATG,Antigua and Barbuda,55408
ARG,Argentina,20961000
ARM,Armenia,1934239
ABW,Aruba,55436
AUS,Australia,10483000
AUT,Austria,7086299
AZE,Azerbaijan,4026355
BHS,"Bahamas, The",115112
BHR,Bahrain,167179
BGD,Bangladesh,51531438
BRB,Barbados,231574
BLR,Belarus,8271216
BEL,Belgium,9183948
BLZ,Belize,94241.9344
BEN,Benin,2451123
BMU,Bermuda,45500
BTN,Bhutan,232000
BOL,Bolivia,3430160
BIH,Bosnia and Herzegovina,3225391
BWA,Botswana,536540
BRA,Brazil,74975656
BRN,Brunei Darussalam,83458
BGR,Bulgaria,7943118
BFA,Burkina Faso,4956921
BDI,Burundi,2992893
KHM,Cambodia,5564215
CMR,Cameroon,5525481
CAN,Canada,18271000
CPV,Cape Verde,215792
CYM,Cayman Islands,8277
CAF,Central African Republic,1529237
TCD,Chad,3017366
CHI,Channel Islands,110381
CHL,Chile,7848372
CHN,China,660330000
COL,Colombia,16487391
COM,Comoros,196605
COD,"Congo, Dem. Rep.",15767376
COG,"Congo, Rep.",1039961
CRI,Costa Rica,1381414
CIV,Cote d'Ivoire,3777543
HRV,Croatia,4171672
CUB,Cuba,7281821
