Country Code,Country Name,Value
ARB,Arab World,150078440.549524
CSS,Caribbean small states,5230151.7248
EAS,East Asia & Pacific (all income levels),1468039692.50329
EAP,East Asia & Pacific (developing only),1278344672.44
EMU,Euro area,291211049
ECS,Europe & Central Asia (all income levels),772910166.751876
ECA,Europe & Central Asia (developing only),341932248.751876
EUU,European Union,451908701
HPC,Heavily indebted poor countries (HIPC),255368879.243131
HIC,High income,881929151.463291
NOC,High income: nonOECD,45694985.4632914
OEC,High income: OECD,836234166
LCN,Latin America & Caribbean (all income levels),329912007.1248
LAC,Latin America & Caribbean (developing only),325225921.7248
LDC,Least developed countries: UN classification,356315096.712581
LMY,Low & middle income,3262600973.41078
LIC,Low income,350871753.243131
LMC,Lower middle income,1281381352.67514
MEA,Middle East & North Africa (all income levels),163880560.549524
MNA,Middle East & North Africa (developing only),149145166.549524
MIC,Middle income,2911729220.16765
NAC,North America,241606200
OED,OECD members,949221854
OSS,Other small states,8571111.2
PSS,Pacific island small states,1948039.24
SST,Small states,15749302.1648
SAS,South Asia,821800145.472581
SSF,Sub-Saharan Africa (all income levels),346381352.472
SSA,Sub-Saharan Africa (developing only),346152818.472
UMC,Upper middle income,1630347867.49251
WLD,World,4144530124.87407
AFG,Afghanistan,13847330.4725807
ALB,Albania,2454255
DZA,Algeria,16533323
ASM,American Samoa,30305
AND,Andorra,32156
AGO,Angola,6808850
ATG,Antigua and Barbuda,69910
ARG,Argentina,26492716
ARM,Armenia,2882831
ABW,Aruba,60589
AUS,Australia,14033000
AUT,Austria,7565525
AZE,Azerbaijan,5786880
BHS,"Bahamas, The",192885
BHR,Bahrain,282245
BGD,Bangladesh,72053923
BRB,Barbados,246523
BLR,Belarus,9411000
BEL,Belgium,9818227
BLZ,Belize,131411.8848
BEN,Benin,3259918
BMU,Bermuda,53200
BTN,Bhutan,377068
BOL,Bolivia,4877275
BIH,Bosnia and Herzegovina,3780559
BWA,Botswana,853774
BRA,Brazil,110804816
BRN,Brunei Darussalam,163208
BGR,Bulgaria,8758599
BFA,Burkina Faso,6577502
BDI,Burundi,3742452
KHM,Cambodia,6972559
CMR,Cameroon,8072879
CAN,Canada,23518000
CPV,Cape Verde,311403
CYM,Cayman Islands,13578
CAF,Central African Republic,2061466
TCD,Chad,4201073
CHI,Channel Islands,126821
CHL,Chile,10571597
CHN,China,930685000
COL,Colombia,24517307
COM,Comoros,280464
COD,"Congo, Dem. Rep.",24011465
COG,"Congo, Rep.",1601410
CRI,Costa Rica,2101762
CIV,Cote d'Ivoire,7086257
HRV,Croatia,4530000
CUB,Cuba,9525242
CYP,Cyprus,657685
CZE,Czech Republic,10125939
DNK,Denmark,5072596
DJI,Djibouti,245326
DMA,Dominica,72648
DOM,Dominican Republic,5274591
ECU,Ecuador,7109119
EGY,"Egypt, Arab Rep.",41033408
SLV,El Salvador,4323383
GNQ,Equatorial Guinea,228534
ERI,Eritrea,2181178
EST,Estonia,1439576
